,date,team,actual,predicted,opponent,opponent_actual,opponent_predicted
257,2003,Steelers,win,loss,Browns,loss,win
258,2003,49ers,win,win,Giants,loss,win
259,2003,Titans,win,win,Steelers,loss,loss
260,2003,Eagles,win,win,Falcons,loss,loss
261,2003,Buccaneers,win,win,49ers,loss,loss
262,2003,Raiders,win,win,Jets,loss,loss
263,2003,Eagles,loss,loss,Buccaneers,win,win
264,2003,Raiders,win,loss,Titans,loss,loss
265,2003,Buccaneers,win,win,Raiders,loss,loss
266,2003,Washington,win,win,Jets,loss,win
267,2003,Bills,win,win,Patriots,loss,loss
268,2003,Bengals,loss,loss,Broncos,win,win
269,2003,Browns,loss,loss,Colts,win,loss
270,2003,Lions,win,win,Cardinals,loss,loss
271,2003,Packers,loss,loss,Vikings,win,loss
272,2003,Chiefs,win,loss,Chargers,loss,loss
273,2003,Dolphins,loss,loss,Texans,win,win
274,2003,Giants,win,loss,Rams,loss,loss
275,2003,Steelers,win,win,Ravens,loss,loss
276,2003,Panthers,win,loss,Jaguars,loss,win
277,2003,Cowboys,loss,loss,Falcons,win,win
278,2003,49ers,win,win,Bears,loss,loss
279,2003,Seahawks,win,win,Saints,loss,loss
280,2003,Titans,win,loss,Raiders,loss,loss
281,2003,Eagles,loss,loss,Buccaneers,win,win
282,2003,Falcons,loss,loss,Washington,win,win
283,2003,Packers,win,win,Lions,loss,loss
284,2003,Colts,win,win,Titans,loss,loss
285,2003,Chiefs,win,win,Steelers,loss,loss
286,2003,Rams,win,loss,49ers,loss,loss
287,2003,Saints,win,win,Texans,loss,loss
288,2003,Jets,loss,loss,Dolphins,win,win
289,2003,Jaguars,loss,loss,Bills,win,win
290,2003,Ravens,win,win,Browns,loss,loss
291,2003,Cardinals,loss,loss,Seahawks,win,win
292,2003,Buccaneers,loss,loss,Panthers,win,win
293,2003,Raiders,win,win,Bengals,loss,win
294,2003,Eagles,loss,loss,Patriots,win,win
295,2003,Chargers,loss,loss,Broncos,win,win
296,2003,Vikings,win,win,Bears,loss,loss
297,2003,Giants,loss,loss,Cowboys,win,win
298,2003,Falcons,loss,loss,Buccaneers,win,win
299,2003,Bengals,loss,loss,Steelers,win,win
300,2003,Lions,loss,loss,Vikings,win,loss
301,2003,Titans,win,win,Saints,loss,loss
302,2003,Colts,win,win,Jaguars,loss,loss
303,2003,Patriots,win,win,Jets,loss,loss
304,2003,Texans,loss,loss,Chiefs,win,win
305,2003,Cardinals,win,win,Packers,loss,loss
306,2003,Seahawks,win,win,Rams,loss,win
307,2003,Washington,loss,loss,Giants,win,win
308,2003,Chargers,loss,loss,Ravens,win,win
309,2003,49ers,loss,loss,Browns,win,loss
310,2003,Dolphins,win,win,Bills,loss,loss
311,2003,Broncos,win,win,Raiders,loss,loss
312,2003,Bills,loss,loss,Eagles,win,win
313,2003,Browns,loss,loss,Bengals,win,win
314,2003,Rams,win,win,Cardinals,loss,loss
315,2003,Vikings,win,win,49ers,loss,loss
316,2003,Steelers,loss,loss,Titans,win,win
317,2003,Washington,win,win,Patriots,loss,loss
318,2003,Texans,win,win,Jaguars,loss,loss
319,2003,Raiders,win,loss,Chargers,loss,win
320,2003,Ravens,loss,loss,Chiefs,win,win
321,2003,Broncos,win,loss,Lions,loss,loss
322,2003,Jets,loss,win,Cowboys,win,win
323,2003,Panthers,win,win,Falcons,loss,loss
324,2003,Saints,loss,loss,Colts,win,win
325,2003,Bears,loss,loss,Packers,win,win
326,2003,Falcons,loss,loss,Vikings,win,win
327,2003,Bills,win,win,Bengals,loss,win
328,2003,Bears,win,loss,Raiders,loss,loss
329,2003,Cowboys,win,win,Cardinals,loss,loss
330,2003,Packers,win,win,Seahawks,loss,loss
331,2003,Chiefs,win,loss,Broncos,loss,win
332,2003,Patriots,win,win,Titans,loss,win
333,2003,Giants,loss,loss,Dolphins,win,win
334,2003,Panthers,win,win,Saints,loss,win
335,2003,Jaguars,win,win,Chargers,loss,loss
336,2003,Eagles,win,win,Washington,loss,loss
337,2003,49ers,win,win,Lions,loss,loss
338,2003,Steelers,loss,loss,Browns,win,win
339,2003,Buccaneers,loss,win,Colts,win,win
340,2003,Browns,win,win,Raiders,loss,loss
341,2003,Cowboys,win,win,Eagles,loss,win
342,2003,Packers,loss,win,Chiefs,win,win
343,2003,Titans,win,win,Texans,loss,loss
344,2003,Colts,loss,win,Panthers,win,win
345,2003,Patriots,win,win,Giants,loss,loss
346,2003,Saints,win,win,Bears,loss,loss
347,2003,Washington,loss,loss,Buccaneers,win,win
348,2003,Jaguars,loss,loss,Dolphins,win,win
349,2003,Broncos,win,loss,Steelers,loss,loss
350,2003,Jets,win,win,Bills,loss,loss
351,2003,Cardinals,loss,loss,Ravens,win,win
352,2003,Seahawks,win,win,49ers,loss,win
353,2003,Rams,win,win,Falcons,loss,loss
354,2003,Dolphins,loss,loss,Patriots,win,win
355,2003,Falcons,loss,loss,Saints,win,win
356,2003,Bengals,win,win,Ravens,loss,loss
357,2003,Browns,loss,loss,Chargers,win,win
358,2003,Lions,loss,loss,Cowboys,win,win
359,2003,Rams,win,win,Packers,loss,loss
360,2003,Vikings,win,win,Broncos,loss,loss
361,2003,Giants,loss,win,Eagles,win,loss
362,2003,Panthers,loss,loss,Titans,win,win
363,2003,Texans,loss,win,Jets,win,win
364,2003,Bills,win,win,Washington,loss,loss
365,2003,49ers,win,win,Buccaneers,loss,loss
366,2003,Seahawks,win,win,Bears,loss,loss
367,2003,Raiders,loss,loss,Chiefs,win,win
368,2003,Bears,win,win,Lions,loss,loss
369,2003,Bengals,win,win,Seahawks,loss,loss
370,2003,Vikings,loss,loss,Giants,win,win
371,2003,Patriots,win,win,Browns,loss,loss
372,2003,Saints,loss,loss,Panthers,win,win
373,2003,Steelers,loss,loss,Rams,win,win
374,2003,Buccaneers,win,win,Cowboys,loss,loss
375,2003,Jaguars,loss,loss,Titans,win,win
376,2003,Ravens,win,win,Broncos,loss,loss
377,2003,Cardinals,win,win,49ers,loss,win
378,2003,Colts,win,win,Texans,loss,win
379,2003,Eagles,win,win,Jets,loss,loss
380,2003,Chiefs,win,win,Bills,loss,loss
381,2003,Chargers,loss,loss,Dolphins,win,win
382,2003,Bears,win,win,Chargers,loss,loss
383,2003,Lions,win,win,Raiders,loss,loss
384,2003,Dolphins,loss,loss,Colts,win,win
385,2003,Jets,loss,win,Giants,win,win
386,2003,Buccaneers,loss,loss,Saints,win,win
387,2003,Ravens,win,win,Jaguars,loss,win
388,2003,Texans,win,win,Panthers,loss,win
389,2003,Cardinals,win,win,Bengals,loss,loss
390,2003,Seahawks,win,win,Steelers,loss,win
391,2003,Falcons,loss,loss,Eagles,win,win
392,2003,Cowboys,win,win,Washington,loss,loss
393,2003,49ers,win,win,Rams,loss,loss
394,2003,Vikings,loss,win,Packers,win,win
395,2003,Broncos,loss,win,Patriots,win,win
396,2003,Bengals,win,win,Texans,loss,loss
397,2003,Lions,win,win,Bears,loss,loss
398,2003,Titans,win,win,Dolphins,loss,loss
399,2003,Chiefs,win,win,Browns,loss,loss
400,2003,Giants,loss,loss,Falcons,win,win
401,2003,Steelers,win,win,Cardinals,loss,win
402,2003,Washington,win,win,Seahawks,loss,loss
403,2003,Panthers,win,win,Buccaneers,loss,loss
404,2003,Jaguars,win,win,Colts,loss,loss
405,2003,Chargers,win,win,Vikings,loss,loss
406,2003,Cowboys,win,win,Bills,loss,loss
407,2003,Raiders,loss,win,Jets,win,win
408,2003,Rams,win,loss,Ravens,loss,loss
409,2003,Packers,loss,win,Eagles,win,win
410,2003,Bills,loss,loss,Texans,win,win
411,2003,Bears,loss,win,Rams,win,loss
412,2003,Bengals,win,win,Chiefs,loss,loss
413,2003,Browns,win,win,Cardinals,loss,loss
414,2003,Titans,win,loss,Jaguars,loss,loss
415,2003,Dolphins,win,win,Ravens,loss,loss
416,2003,Saints,win,loss,Falcons,loss,loss
417,2003,Eagles,win,win,Giants,loss,loss
418,2003,Panthers,win,win,Washington,loss,loss
419,2003,Broncos,win,win,Chargers,loss,loss
420,2003,Colts,win,win,Jets,loss,win
421,2003,Raiders,win,win,Vikings,loss,loss
422,2003,Seahawks,win,win,Lions,loss,loss
423,2003,Buccaneers,loss,loss,Packers,win,win
424,2003,Patriots,win,loss,Cowboys,loss,loss
425,2003,49ers,win,win,Steelers,loss,loss
426,2003,Bills,loss,loss,Colts,win,win
427,2003,Browns,loss,loss,Steelers,win,loss
428,2003,Cowboys,win,win,Panthers,loss,loss
429,2003,Packers,win,win,49ers,loss,loss
430,2003,Vikings,win,win,Lions,loss,loss
431,2003,Jets,win,loss,Jaguars,loss,win
432,2003,Eagles,win,win,Saints,loss,loss
433,2003,Ravens,win,win,Seahawks,loss,win
434,2003,Texans,loss,loss,Patriots,win,win
435,2003,Broncos,loss,loss,Bears,win,win
436,2003,Cardinals,loss,win,Rams,win,loss
437,2003,Falcons,loss,loss,Titans,win,win
438,2003,Chiefs,win,win,Raiders,loss,win
439,2003,Chargers,loss,loss,Bengals,win,win
440,2003,Dolphins,win,win,Washington,loss,loss
441,2003,Buccaneers,win,win,Giants,loss,loss
442,2003,Lions,win,win,Packers,loss,loss
443,2003,Cowboys,loss,loss,Dolphins,win,win
444,2003,Bears,win,win,Cardinals,loss,loss
445,2003,Colts,loss,win,Patriots,win,win
446,2003,Rams,win,win,Vikings,loss,loss
447,2003,Giants,loss,loss,Bills,win,win
448,2003,Steelers,loss,loss,Bengals,win,win
449,2003,Panthers,loss,win,Eagles,win,win
450,2003,Ravens,win,win,49ers,loss,loss
451,2003,Texans,win,loss,Falcons,loss,loss
452,2003,Washington,loss,loss,Saints,win,win
453,2003,Raiders,loss,loss,Broncos,win,win
454,2003,Chargers,loss,loss,Chiefs,win,win
455,2003,Seahawks,win,win,Browns,loss,loss
456,2003,Jaguars,win,win,Buccaneers,loss,loss
457,2003,Jets,win,win,Titans,loss,loss
458,2003,Lions,loss,loss,Chargers,win,win
459,2003,Packers,win,win,Bears,loss,loss
460,2003,Titans,loss,loss,Colts,win,win
461,2003,Vikings,win,win,Seahawks,loss,loss
462,2003,Saints,loss,loss,Buccaneers,win,win
463,2003,Giants,loss,loss,Washington,win,win
464,2003,Eagles,win,loss,Cowboys,loss,win
465,2003,Steelers,win,win,Raiders,loss,loss
466,2003,Jaguars,win,win,Texans,loss,loss
467,2003,Ravens,win,win,Bengals,loss,loss
468,2003,49ers,win,win,Cardinals,loss,loss
469,2003,Bills,win,win,Jets,loss,loss
470,2003,Broncos,win,win,Chiefs,loss,win
471,2003,Patriots,win,win,Dolphins,loss,loss
472,2003,Falcons,win,win,Panthers,loss,win
473,2003,Browns,loss,loss,Rams,win,win
474,2003,Bears,win,loss,Vikings,loss,win
475,2003,Bengals,win,win,49ers,loss,win
476,2003,Titans,win,win,Bills,loss,win
477,2003,Colts,win,win,Falcons,loss,loss
478,2003,Chiefs,win,win,Lions,loss,win
479,2003,Rams,win,win,Seahawks,loss,win
480,2003,Patriots,win,win,Jaguars,loss,loss
481,2003,Jets,win,win,Steelers,loss,loss
482,2003,Buccaneers,win,win,Texans,loss,loss
483,2003,Broncos,win,win,Browns,loss,loss
484,2003,Raiders,win,win,Ravens,loss,loss
485,2003,Cardinals,loss,win,Panthers,win,loss
486,2003,Chargers,loss,loss,Packers,win,win
487,2003,Washington,loss,loss,Cowboys,win,win
488,2003,Saints,win,win,Giants,loss,loss
489,2003,Dolphins,loss,loss,Eagles,win,win
490,2003,Buccaneers,loss,loss,Falcons,win,win
491,2003,Vikings,win,win,Chiefs,loss,loss
492,2003,Jets,loss,loss,Patriots,win,win
493,2003,Bills,loss,loss,Dolphins,win,win
494,2003,Bears,win,win,Washington,loss,win
495,2003,Browns,loss,loss,Ravens,win,win
496,2003,Cowboys,win,win,Giants,loss,loss
497,2003,Rams,win,win,Bengals,loss,loss
498,2003,Panthers,win,win,Lions,loss,loss
499,2003,Jaguars,win,win,Saints,loss,win
500,2003,Texans,loss,loss,Titans,win,win
501,2003,Steelers,win,win,Chargers,loss,loss
502,2003,Eagles,loss,loss,49ers,win,win
503,2003,Seahawks,win,loss,Cardinals,loss,loss
504,2003,Colts,loss,loss,Broncos,win,win
505,2003,Raiders,loss,loss,Packers,win,win
506,2003,Patriots,win,win,Bills,loss,loss
507,2003,49ers,loss,loss,Seahawks,win,win
508,2003,Washington,loss,loss,Eagles,win,win
509,2003,Falcons,win,win,Jaguars,loss,loss
510,2003,Bengals,loss,loss,Browns,win,win
511,2003,Lions,win,win,Rams,loss,loss
512,2003,Titans,win,win,Buccaneers,loss,loss
513,2003,Chiefs,win,win,Bears,loss,loss
514,2003,Dolphins,win,win,Jets,loss,win
515,2003,Saints,win,loss,Cowboys,loss,loss
516,2003,Texans,loss,loss,Colts,win,win
517,2003,Giants,loss,loss,Panthers,win,win
518,2003,Cardinals,win,loss,Vikings,loss,win
519,2003,Packers,win,win,Broncos,loss,win
520,2003,Chargers,win,win,Raiders,loss,loss
521,2003,Ravens,win,win,Steelers,loss,loss
522,2004,Ravens,loss,loss,Titans,win,win
523,2004,Panthers,win,win,Cowboys,loss,loss
524,2004,Packers,win,win,Seahawks,loss,loss
525,2004,Colts,win,win,Broncos,loss,loss
526,2004,Rams,loss,loss,Panthers,win,win
527,2004,Patriots,win,win,Titans,loss,loss
528,2004,Chiefs,loss,win,Colts,win,win
529,2004,Eagles,win,loss,Packers,loss,win
530,2004,Patriots,win,win,Colts,loss,loss
531,2004,Eagles,loss,loss,Panthers,win,win
532,2004,Patriots,win,win,Panthers,loss,loss
533,2004,Patriots,win,loss,Colts,loss,win
534,2004,Dolphins,loss,loss,Titans,win,win
535,2004,Bills,loss,win,Jaguars,win,loss
536,2004,Bears,loss,loss,Lions,win,win
537,2004,Browns,win,win,Ravens,loss,loss
538,2004,Rams,win,loss,Cardinals,loss,win
539,2004,Saints,loss,loss,Seahawks,win,win
540,2004,Jets,win,win,Bengals,loss,win
541,2004,Steelers,win,win,Raiders,loss,loss
542,2004,Washington,win,win,Buccaneers,loss,loss
543,2004,Texans,loss,win,Chargers,win,win
544,2004,Vikings,win,win,Cowboys,loss,loss
545,2004,Eagles,win,win,Giants,loss,loss
546,2004,49ers,loss,loss,Falcons,win,loss
547,2004,Broncos,win,win,Chiefs,loss,loss
548,2004,Panthers,loss,loss,Packers,win,win
549,2004,Falcons,win,win,Rams,loss,loss
550,2004,Lions,win,win,Texans,loss,win
551,2004,Packers,loss,loss,Bears,win,win
552,2004,Titans,loss,loss,Colts,win,win
553,2004,Chiefs,loss,loss,Panthers,win,win
554,2004,Saints,win,win,49ers,loss,loss
555,2004,Giants,win,win,Washington,loss,loss
556,2004,Jaguars,win,loss,Broncos,loss,win
557,2004,Ravens,win,win,Steelers,loss,loss
558,2004,Buccaneers,loss,loss,Seahawks,win,loss
559,2004,Cowboys,win,loss,Browns,loss,loss
560,2004,Raiders,win,win,Bills,loss,loss
561,2004,Cardinals,loss,loss,Patriots,win,win
562,2004,Chargers,loss,loss,Jets,win,win
563,2004,Bengals,win,win,Dolphins,loss,loss
564,2004,Eagles,win,loss,Vikings,loss,loss
565,2004,Falcons,win,loss,Cardinals,loss,loss
566,2004,Bengals,loss,loss,Ravens,win,win
